Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
102018;DBS Chola Monthly Income Plan -Regular - Cumulative Plan;13.5746;13.5746;13.5746;21-Sep-2007
101895;DBS Chola Monthly Income Plan-Regular-Monthly Dividend Plan;10.4241;10.4241;10.4241;21-Sep-2007
103137;DBS Chola Short Term Floating Rate Fund-Cumulative;11.6038;11.6038;11.6038;21-Sep-2007
103134;DBS Chola Short Term Floating Rate Fund-Dividend-Daily;10.0164;10.0164;10.0164;21-Sep-2007
103136;DBS Chola Short Term Floating Rate Fund-Dividend-Monthly;10.2838;10.2838;10.2838;21-Sep-2007
103135;DBS Chola Short Term Floating Rate Fund-Dividend-Weekly;10.2509;10.2509;10.2509;21-Sep-2007
100567;DBS Chola Triple Ace-Regular - Quarterly Dividend;11.4011;11.4011;11.4011;21-Sep-2007
100563;DBS Chola Triple Ace-Regular -Cumulative;24.2144;24.2144;24.2144;21-Sep-2007
100573;DBS Chola Triple Ace-Regular Bonus;13.4545;13.4545;13.4545;21-Sep-2007
100569;DBS Chola Triple Ace-Semi Annual Dividend;11.7176;11.7176;11.7176;21-Sep-2007
101784;DBS CholaFreedom Income-STF-Institutional Monthly Dividend;11.0882;11.0882;11.0882;21-Sep-2007

Deutsche Mutual Fund
102196;DWS MIP-DWS MIP Plan A-DWS MIP Plan A-  Growth Option;13.5345;13.5345;13.6022;20-Sep-2007
102195;DWS MIP-DWS MIP Plan A-DWS MIP Plan A- Annual Dividend option;11.1308;11.1308;11.1865;20-Sep-2007
102193;DWS MIP-DWS MIP Plan A-DWS MIP Plan A- Monthly Dividend option;10.8461;10.8461;10.9003;20-Sep-2007
102194;DWS MIP-DWS MIP Plan A-DWS MIP Plan A- Quarterly  Dividend option;10.8905;10.8905;10.9450;20-Sep-2007
102200;DWS MIP-DWS MIP Plan B-DWS MIP Plan B-  Growth Option;12.6297;12.6297;12.6928;20-Sep-2007
102199;DWS MIP-DWS MIP Plan B-DWS MIP Plan B- Annual Dividend option;10.7062;10.7062;10.7597;20-Sep-2007
102197;DWS MIP-DWS MIP Plan B-DWS MIP Plan B- Monthly Dividend option;10.4467;10.4467;10.4989;20-Sep-2007
102198;DWS MIP-DWS MIP Plan B-DWS MIP Plan B- Quarterly  Dividend option;10.5960;10.5960;10.6490;20-Sep-2007
101732;DWS Premier Bond Fund - Regular Plan-/-Growth Plan;12.4169;12.4169;12.6652;20-Sep-2007
101731;DWS Premier Bond Fund - Regular Plan-Dividend(payout / reinvestment)-Annual;10.7713;10.7174;10.7713;20-Sep-2007
101730;DWS Premier Bond Fund - Regular Plan-Dividend(payout / reinvestment)-Monthly;10.7294;10.6758;10.7294;20-Sep-2007
101729;DWS Premier Bond Fund - Regular Plan-Dividend(payout / reinvestment)-Quarterly;10.4070;10.3550;10.4070;20-Sep-2007
101625;DWS Short Maturity Fund-Dividend-Monthly;10.2910;10.2910;10.2910;20-Sep-2007
101626;DWS Short Maturity Fund-Dividend-WEEKLY DIVIDEND;10.2297;10.2297;10.2297;20-Sep-2007
101627;DWS Short Maturity Fund-Growth Plan-GROWTH;13.0779;13.0779;13.0779;20-Sep-2007

DSP Merrill Lynch Mutual Fund
100077;DSP Merrill Lynch Bond Fund - Retail Plan-Dividend; 10.9095 ; 10.8550 ; 10.9095 ;20-Sep-2007
100078;DSP Merrill Lynch Bond Fund - Retail Plan-Growth; 25.6731 ; 25.5447 ; 25.6731 ;20-Sep-2007
100079;DSP Merrill Lynch Bond Fund - Retail Plan-Monthly Dividend; 10.5048 ; 10.4523 ; 10.5048 ;20-Sep-2007
104143;DSP Merrill Lynch Liquid Plus Fund - Institutional Plan - Daily Dividend Reinvest; 1000.2000 ; 1000.2000 ; 1000.2000 ;20-Sep-2007
104142;DSP Merrill Lynch Liquid Plus Fund - Institutional Plan - Growth; 1083.9966 ; 1083.9966 ; 1083.9966 ;20-Sep-2007
104141;DSP Merrill Lynch Liquid Plus Fund - Institutional Plan - Weekly Dividend; 1001.4014 ; 1001.4014 ; 1001.4014 ;20-Sep-2007
104140;DSP Merrill Lynch Liquid Plus Fund - Regular Plan - Daily Dividend Reinvest; 1000.2000 ; 1000.2000 ; 1000.2000 ;20-Sep-2007
104138;DSP Merrill Lynch Liquid Plus Fund - Regular Plan - Growth; 1079.6500 ; 1079.6500 ; 1079.6500 ;20-Sep-2007
104139;DSP Merrill Lynch Liquid Plus Fund - Regular Plan - Weekly Dividend Reinvest; 1001.3351 ; 1001.3351 ; 1001.3351 ;20-Sep-2007

102448;DSP Merrill Lynch Savings Plus Fund - Aggressive-Growth; 14.8618 ; 14.7132 ; 14.8618 ;20-Sep-2007
